Date	Type	Raion	Location	Name	Question	TypeQuestion	Answer
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of all unique users to library? 	numeric	216
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of registered/unique users of each gender (female) 	numeric	131
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of registered/unic users of each gender (male)	numeric	85
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	0-16 years	numeric	148
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	17-30 year	numeric	43
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	31-57 year	numeric	19
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	58 - ... year	numeric	6
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of physical visits during this month 	numeric	398
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total of virtual visits  	numeric	0
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of unique individuals using Novateca workstations 	numeric	182
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of unique individuals using  non-Novateca workstations 	numeric	0
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of loans of library materials 	numeric	530
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of event visitors/persons	numeric	120
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	New services and activities, including on computers  	textaria	Filme vizionate in grup. SKYPE.Jocuri pentru copii.
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of consultations in June	numeric	130
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Topic, area of consultation 	textaria	Folosirea calculatorului.Consultatii in domeniul agriculturii,invatamintului, medicinii, sport, culinarie
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Topic/title of each training 	text	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training, start	datepiker	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training end	datepiker	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	The total hours per training	numeric	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of trained persons	numeric	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	The group of the participants	text	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Partners, contributions	textaria	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Topic/title of training	text	
2013-09-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training, start	datepiker	
